customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00020,Male,0,No,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),61.6,2940.09,No
CUST-00021,Female,0,No,No,52,Yes,No,Fiber optic,No internet service,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,73.32,3762.68,No
CUST-00022,Male,0,Yes,No,40,Yes,Yes,DSL,Yes,No,No internet service,No internet service,No internet service,No,Month-to-month,Yes,Credit card (automatic),40.83,1603.11,No
CUST-00023,Female,1,No,No,7,Yes,No,DSL,No internet service,No,No internet service,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),74.27,561.64,Yes
CUST-00024,Female,0,Yes,Yes,67,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,66.95,4459.57,Yes
CUST-00025,Female,0,Yes,No,49,Yes,No,Fiber optic,No,No,No,No,No internet service,No internet service,Month-to-month,No,Electronic check,66.19,3287.58,No
CUST-00026,Male,0,No,No,51,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No,No internet service,No,Month-to-month,No,Electronic check,77.74,3981.04,No
CUST-00027,Male,0,Yes,No,45,Yes,No,DSL,Yes,No internet service,No,Yes,Yes,No,Two year,No,Electronic check,40.78,1791.96,Yes
CUST-00028,Female,0,Yes,Yes,21,Yes,No,DSL,Yes,No,No internet service,No,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),115.2,2380.01,No
CUST-00029,Female,0,No,No,69,Yes,No,DSL,No,No,No internet service,Yes,No internet service,No,Month-to-month,Yes,Credit card (automatic),61.3,4216.76,No
CUST-00030,Female,0,No,No,35,Yes,Yes,DSL,No,No,Yes,Yes,No,No internet service,Two year,Yes,Mailed check,50.64,1746.95,No
CUST-00031,Female,0,Yes,Yes,11,Yes,No,DSL,No,No,No,No,No,No,One year,Yes,Credit card (automatic),42.51,458.25,No
CUST-00032,Male,0,No,Yes,35,Yes,No,DSL,No,No internet service,No internet service,Yes,Yes,Yes,One year,No,Mailed check,49.07,1690.5,No
CUST-00033,Female,0,Yes,No,36,Yes,Yes,No,Yes,Yes,No internet service,No,No internet service,No,Month-to-month,Yes,Electronic check,22.82,776.97,No
CUST-00034,Female,0,Yes,No,20,Yes,No phone service,No,Yes,No,No,No,Yes,No internet service,Month-to-month,Yes,Mailed check,33.24,671.08,Yes
CUST-00035,Female,0,No,Yes,28,Yes,No,Fiber optic,No,No,No,No internet service,No,No,Month-to-month,No,Mailed check,44.85,1213.92,Yes
CUST-00036,Male,0,No,No,55,Yes,No phone service,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,29.79,1610.93,Yes
CUST-00037,Male,1,No,No,56,Yes,Yes,DSL,No,No,Yes,No internet service,No,No internet service,Month-to-month,No,Credit card (automatic),92.07,5166.29,No
CUST-00038,Female,0,No,No,45,Yes,No,DSL,No,Yes,No internet service,No,No,No internet service,Month-to-month,No,Credit card (automatic),59.29,2650.16,No
CUST-00039,Male,0,Yes,No,53,Yes,No,Fiber optic,Yes,No internet service,No,Yes,Yes,No,One year,Yes,Electronic check,23.7,1257.94,No
CUST-00040,Female,1,No,No,29,Yes,No,DSL,No internet service,Yes,No,No,No internet service,No,Month-to-month,No,Electronic check,117.97,3462.42,No
CUST-00041,Male,0,No,No,36,Yes,No,Fiber optic,No internet service,No,No,No,No,Yes,Month-to-month,No,Mailed check,95.9,3487.84,Yes
CUST-00042,Female,0,Yes,No,31,Yes,No,DSL,No,No internet service,No internet service,No,No,No,One year,No,Credit card (automatic),75.72,2320.68,No
CUST-00043,Male,1,No,No,20,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,25.77,543.55,Yes
CUST-00044,Female,1,Yes,No,56,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,One year,No,Credit card (automatic),116.57,6553.96,No
CUST-00045,Male,1,No,No,31,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,68.27,2124.69,No
CUST-00046,Female,0,No,Yes,50,Yes,No,Fiber optic,No,Yes,No,No,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),104.01,5161.17,Yes
CUST-00047,Male,0,Yes,No,29,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),82.23,2396.76,No
CUST-00048,Female,0,No,No,68,Yes,Yes,No,No,Yes,No,No,Yes,No internet service,Month-to-month,Yes,Electronic check,68.68,4647.49,No
CUST-00049,Female,0,No,Yes,51,Yes,Yes,Fiber optic,No internet service,No,No internet service,Yes,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),19.65,1005.81,No
CUST-00050,Male,1,Yes,No,53,Yes,No phone service,No,No,No,No,No,No internet service,No,Month-to-month,No,Credit card (automatic),29.98,1543.47,Yes
CUST-00051,Male,1,No,No,36,No,Yes,No,No,Yes,Yes,No internet service,No,No,Month-to-month,No,Electronic check,21.54,762.49,No
CUST-00052,Male,0,Yes,No,7,Yes,No phone service,Fiber optic,Yes,No internet service,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,97.32,655.6,Yes
CUST-00053,Male,0,No,No,17,Yes,No,DSL,No,No,Yes,No,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),19.74,364.58,Yes
CUST-00054,Male,0,No,Yes,59,Yes,No,No,Yes,Yes,No,No,Yes,No internet service,Two year,Yes,Credit card (automatic),82.91,4844.81,No
CUST-00055,Male,0,Yes,No,65,Yes,Yes,No,No,Yes,Yes,Yes,No internet service,No,One year,Yes,Electronic check,79.1,5101.42,No
CUST-00056,Female,0,No,No,11,Yes,No,No,No internet service,No,No internet service,No,Yes,No,One year,Yes,Credit card (automatic),27.62,263.48,No
CUST-00057,Male,0,Yes,No,29,Yes,No,DSL,Yes,Yes,No,No internet service,Yes,Yes,One year,Yes,Credit card (automatic),103.4,2983.61,No
CUST-00058,Female,0,Yes,No,9,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),32.51,305.91,Yes
CUST-00059,Male,0,No,No,63,Yes,Yes,Fiber optic,No internet service,Yes,Yes,No internet service,No,No,Month-to-month,Yes,Electronic check,79.26,4984.8,Yes
CUST-00060,Female,0,Yes,No,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,68.24,61.31,Yes
CUST-00061,Female,0,No,No,59,Yes,Yes,No,No,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,101.87,6052.31,Yes
CUST-00062,Male,0,No,No,31,Yes,No,DSL,No,No internet service,No,No internet service,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),28.58,861.58,No
CUST-00063,Male,0,No,Yes,9,Yes,Yes,Fiber optic,No,No internet service,Yes,No,Yes,No,One year,No,Electronic check,65.38,601.56,No
CUST-00064,Male,0,No,No,58,Yes,No,Fiber optic,Yes,No,No internet service,No,No,Yes,Month-to-month,No,Credit card (automatic),109.61,6364.55,No
CUST-00065,Female,0,No,Yes,53,Yes,No,Fiber optic,No internet service,No internet service,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),96.08,5110.13,Yes
CUST-00066,Male,0,Yes,No,17,Yes,Yes,Fiber optic,No,Yes,Yes,No internet service,No,Yes,Month-to-month,Yes,Electronic check,78.05,1370.65,No
CUST-00067,Male,0,Yes,No,38,Yes,Yes,No,No,No,No internet service,No,Yes,Yes,One year,No,Credit card (automatic),103.12,3878.67,No
CUST-00068,Female,1,Yes,No,37,No,No phone service,DSL,No,Yes,No,No,No internet service,No internet service,Month-to-month,No,Mailed check,93.87,3501.57,No
CUST-00069,Male,0,Yes,Yes,33,No,Yes,No,No,No internet service,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),23.49,773.23,No
CUST-00070,Female,0,Yes,Yes,31,No,No,DSL,No internet service,No,No,No,No internet service,Yes,Month-to-month,Yes,Mailed check,57.06,1727.02,Yes
CUST-00071,Male,0,No,No,71,Yes,Yes,Fiber optic,No internet service,No,No,No,No,No,Month-to-month,Yes,Electronic check,112.74,8015.43,Yes
CUST-00072,Male,1,Yes,No,46,Yes,No,DSL,No internet service,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),42.43,1943.44,No
CUST-00073,Female,1,No,No,18,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),22.71,413.38,No
CUST-00074,Male,1,No,Yes,70,Yes,Yes,DSL,No,No,No internet service,No,Yes,No,One year,Yes,Bank transfer (automatic),65.83,4561.76,No
CUST-00075,Female,0,No,No,11,Yes,No,No,No,No,No,Yes,No internet service,Yes,One year,No,Bank transfer (automatic),91.32,962.41,No
CUST-00076,Male,0,No,Yes,8,Yes,No,No,No,No,No,No,No,No internet service,Month-to-month,Yes,Electronic check,25.79,220.07,No
CUST-00077,Male,0,No,No,18,Yes,No,DSL,No,Yes,No,No,No internet service,Yes,One year,Yes,Electronic check,71.46,1276.08,No
CUST-00078,Female,0,Yes,No,58,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Two year,No,Mailed check,35.6,2086.14,No
CUST-00079,Male,0,Yes,Yes,31,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),97.68,2980.71,No
CUST-00080,Male,0,Yes,No,67,Yes,Yes,Fiber optic,Yes,No internet service,Yes,No internet service,No,Yes,One year,Yes,Mailed check,52.87,3580.09,Yes
CUST-00081,Male,0,No,No,71,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,Yes,Electronic check,45.83,3266.43,No
CUST-00082,Female,0,Yes,No,64,Yes,Yes,DSL,No,Yes,Yes,No internet service,Yes,No internet service,One year,Yes,Credit card (automatic),107.59,6890.32,No
CUST-00083,Female,0,Yes,Yes,17,No,No,DSL,No,No internet service,No internet service,No internet service,No internet service,No,Month-to-month,Yes,Mailed check,94.7,1611.4,Yes
CUST-00084,Female,0,Yes,Yes,64,Yes,Yes,Fiber optic,No,No internet service,No,No,No,No internet service,Two year,Yes,Bank transfer (automatic),118.34,7570.44,Yes
CUST-00085,Female,0,No,No,47,Yes,No phone service,Fiber optic,No,Yes,No internet service,No,No,Yes,Month-to-month,No,Mailed check,95.02,4452.53,Yes
CUST-00086,Female,0,Yes,No,26,Yes,Yes,DSL,No,Yes,No internet service,No,Yes,Yes,Month-to-month,No,Credit card (automatic),78.8,2038.94,No
CUST-00087,Female,0,Yes,No,39,Yes,No,DSL,No internet service,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),65.98,2524.88,No
CUST-00088,Female,0,Yes,No,19,Yes,No,Fiber optic,No,No,No internet service,No,No,No,One year,Yes,Credit card (automatic),100.83,1889.99,Yes
CUST-00089,Female,0,Yes,No,68,Yes,Yes,Fiber optic,No internet service,No internet service,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),56.12,3861.83,No
CUST-00090,Male,0,No,No,37,Yes,No phone service,No,No,No,Yes,No internet service,Yes,No,Month-to-month,Yes,Electronic check,30.5,1146.16,No
CUST-00091,Female,0,No,Yes,31,Yes,Yes,Fiber optic,No,No internet service,No,No internet service,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),42.62,1338.2,Yes
CUST-00092,Male,1,Yes,No,42,Yes,No phone service,Fiber optic,Yes,No internet service,No,Yes,No,No internet service,One year,Yes,Electronic check,46.93,1926.98,No
CUST-00093,Female,1,Yes,No,2,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Two year,No,Mailed check,48.24,106.76,No
CUST-00094,Female,0,Yes,No,23,Yes,No phone service,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),79.65,1845.82,Yes
CUST-00095,Female,0,No,No,47,Yes,No phone service,DSL,No,No,No internet service,No,No,No internet service,Month-to-month,No,Mailed check,87.87,4086.1,No
CUST-00096,Female,0,Yes,Yes,32,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,86.62,2781.42,No
CUST-00097,Female,0,No,No,66,Yes,No,Fiber optic,No,No,Yes,No,Yes,No internet service,Month-to-month,No,Electronic check,63.02,4114.88,No
CUST-00098,Female,0,No,No,61,No,Yes,Fiber optic,Yes,No internet service,No internet service,Yes,No internet service,Yes,One year,No,Credit card (automatic),21.44,1298.73,No
CUST-00099,Female,0,No,No,68,Yes,Yes,Fiber optic,No,Yes,No internet service,No,Yes,No internet service,Two year,Yes,Electronic check,31.05,2159.27,No
CUST-00100,Male,0,Yes,No,31,Yes,Yes,Fiber optic,No internet service,Yes,No,Yes,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),38.96,1167.85,No
CUST-00101,Male,0,Yes,No,31,Yes,No,DSL,No internet service,No internet service,No,No,Yes,No,One year,Yes,Credit card (automatic),48.58,1470.31,No
CUST-00102,Female,1,No,No,24,Yes,Yes,DSL,Yes,Yes,No,No internet service,No internet service,Yes,Two year,No,Mailed check,94.07,2255.03,No
CUST-00103,Male,0,No,No,7,No,Yes,No,Yes,No,No,No,No internet service,No,One year,No,Credit card (automatic),45.23,333.98,Yes
CUST-00104,Female,0,No,No,31,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No internet service,Month-to-month,No,Electronic check,73.73,2313.18,Yes
CUST-00105,Male,0,Yes,No,34,Yes,No,DSL,Yes,No internet service,No internet service,No,No,Yes,One year,No,Mailed check,73.86,2519.64,No
CUST-00106,Male,0,Yes,No,18,Yes,No,Fiber optic,No,No internet service,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),90.64,1630.35,No
CUST-00107,Female,0,No,No,63,No,Yes,DSL,Yes,Yes,Yes,No,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),19.83,1252.51,No
CUST-00108,Male,0,Yes,Yes,52,Yes,No,DSL,Yes,Yes,Yes,No,No,No,One year,Yes,Electronic check,64.38,3322.08,No
CUST-00109,Female,0,Yes,No,68,Yes,No,Fiber optic,No,Yes,No internet service,Yes,Yes,Yes,Two year,No,Credit card (automatic),110.62,7495.14,No
CUST-00110,Female,0,Yes,No,10,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,One year,No,Credit card (automatic),48.33,489.7,No
CUST-00111,Female,0,No,Yes,42,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Two year,Yes,Electronic check,21.23,868.99,No
CUST-00112,Male,0,No,Yes,12,Yes,No,DSL,No,No,No internet service,Yes,No,No,Month-to-month,No,Mailed check,18.77,206.07,Yes
CUST-00113,Male,0,No,No,67,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),35.29,2352.5,No
CUST-00114,Male,0,Yes,No,43,Yes,Yes,Fiber optic,No,No,No,No internet service,No,Yes,Two year,Yes,Credit card (automatic),102.83,4409.68,No
CUST-00115,Male,1,No,No,47,Yes,No,Fiber optic,No internet service,Yes,No internet service,No,No,Yes,One year,Yes,Bank transfer (automatic),29.7,1402.29,No
CUST-00116,Female,0,No,No,20,Yes,Yes,No,No internet service,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,90.13,1831.51,No
CUST-00117,Male,0,Yes,No,52,Yes,No,DSL,No,No,Yes,Yes,Yes,No,One year,No,Electronic check,115.41,5984.48,Yes
CUST-00118,Male,0,No,No,19,Yes,No,Fiber optic,Yes,No internet service,No,No,Yes,No internet service,One year,Yes,Mailed check,53.26,996.25,No
CUST-00119,Male,0,No,No,71,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Two year,No,Electronic check,34.34,2444.12,No
CUST-00120,Female,0,No,No,69,Yes,No,DSL,No,No internet service,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,37.04,2538.36,No
CUST-00121,Male,0,No,Yes,31,Yes,No,Fiber optic,No,No internet service,No,No,Yes,Yes,One year,Yes,Electronic check,48.94,1485.44,No
CUST-00122,Female,0,No,No,46,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),113.91,5238.32,No
CUST-00123,Female,0,Yes,No,64,Yes,Yes,Fiber optic,No,No,No,Yes,No internet service,Yes,Month-to-month,Yes,Electronic check,73.5,4665.32,No
CUST-00124,Female,1,No,Yes,57,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Yes,Two year,No,Bank transfer (automatic),105.21,5958.71,No
CUST-00125,Female,1,No,No,35,Yes,No,No,Yes,No,No internet service,No,No,No,Two year,Yes,Bank transfer (automatic),113.97,3990.39,Yes
CUST-00126,Female,0,No,No,54,Yes,No,Fiber optic,No internet service,No internet service,Yes,No internet service,No,No,One year,No,Credit card (automatic),55.95,2978.85,No
CUST-00127,Male,0,No,No,28,Yes,No,DSL,Yes,No,No internet service,Yes,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),115.55,3267.88,Yes
CUST-00128,Female,0,No,Yes,26,Yes,No phone service,DSL,Yes,No,Yes,No,Yes,No,Two year,No,Electronic check,118.32,3117.26,No
CUST-00129,Female,0,No,No,28,Yes,Yes,Fiber optic,Yes,No internet service,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,66.17,1816.03,Yes
CUST-00130,Male,0,Yes,No,19,Yes,Yes,DSL,Yes,No internet service,Yes,Yes,No,Yes,One year,Yes,Mailed check,25.13,483.8,No
CUST-00131,Male,0,No,Yes,32,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Electronic check,46.09,1433.3,No
CUST-00132,Female,0,Yes,No,68,No,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),107.57,7265.97,Yes
CUST-00133,Female,0,Yes,No,55,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,88.78,4841.14,Yes
CUST-00134,Male,0,Yes,No,8,Yes,No phone service,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,42.82,385.02,Yes
CUST-00135,Male,0,No,Yes,4,Yes,Yes,DSL,Yes,No,No internet service,No,Yes,No,Month-to-month,Yes,Electronic check,51.92,200.61,No
CUST-00136,Male,0,No,Yes,32,Yes,No phone service,DSL,No,No internet service,No,Yes,No,Yes,Two year,Yes,Electronic check,22.87,718.24,No
CUST-00137,Female,0,Yes,Yes,52,Yes,No,No,Yes,No,No internet service,No internet service,No,No,Month-to-month,Yes,Mailed check,25.18,1305.87,Yes
CUST-00138,Male,1,Yes,No,20,Yes,No,DSL,No,Yes,No internet service,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),18.89,368.8,No
CUST-00139,Female,1,Yes,No,12,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),22.66,245.07,No
CUST-00140,Male,0,Yes,No,42,Yes,Yes,DSL,No,No,No,No,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),50.21,2086.02,No
CUST-00141,Female,0,No,Yes,6,No,Yes,Fiber optic,No,No,No,Yes,No,No internet service,Month-to-month,Yes,Electronic check,39.86,274.82,No
CUST-00142,Male,0,No,No,8,Yes,No phone service,No,Yes,No,No internet service,Yes,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),101.7,861.86,Yes
CUST-00143,Female,0,Yes,No,7,Yes,Yes,Fiber optic,Yes,No,No,No,No,No internet service,Two year,Yes,Electronic check,35.13,253.3,Yes
CUST-00144,Male,1,No,No,36,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Yes,One year,No,Bank transfer (automatic),56.74,2034.56,No
CUST-00145,Male,0,Yes,Yes,8,Yes,No phone service,Fiber optic,Yes,No internet service,Yes,No internet service,No,Yes,Month-to-month,No,Mailed check,99.52,793.33,Yes
CUST-00146,Female,1,Yes,No,23,Yes,No phone service,Fiber optic,No internet service,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),42.02,948.26,No
CUST-00147,Female,0,Yes,No,1,No,No,DSL,No internet service,No internet service,No internet service,No,No internet service,Yes,Two year,Yes,Bank transfer (automatic),51.59,63.0,Yes
CUST-00148,Female,0,No,Yes,42,Yes,Yes,Fiber optic,No,No,Yes,No,No internet service,No internet service,Two year,Yes,Electronic check,31.96,1308.07,No
CUST-00149,Female,0,Yes,Yes,24,No,Yes,DSL,No internet service,Yes,No,No,No internet service,No,Two year,Yes,Mailed check,78.79,1933.06,No
CUST-00150,Female,1,No,No,9,Yes,No,DSL,Yes,No,No internet service,No,No,Yes,One year,Yes,Electronic check,53.47,509.93,No
CUST-00151,Male,0,Yes,No,38,No,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,20.27,746.37,No
CUST-00152,Male,0,No,No,53,Yes,Yes,DSL,No,No,Yes,No,No,Yes,One year,Yes,Mailed check,88.32,4703.16,No
CUST-00153,Female,0,No,Yes,38,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,116.44,4422.08,Yes
CUST-00154,Male,0,No,No,11,Yes,No phone service,Fiber optic,No,Yes,Yes,No,No internet service,Yes,Month-to-month,Yes,Mailed check,85.4,970.22,Yes
CUST-00155,Male,0,No,Yes,16,Yes,Yes,DSL,No internet service,Yes,No,No,No,No internet service,Two year,Yes,Credit card (automatic),113.65,1813.3,No
CUST-00156,Female,0,Yes,Yes,71,Yes,No,No,No internet service,No internet service,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),51.03,3600.75,No
CUST-00157,Male,0,No,Yes,34,Yes,Yes,DSL,Yes,No,No internet service,No internet service,Yes,No internet service,One year,Yes,Bank transfer (automatic),56.75,1928.06,No
CUST-00158,Female,0,No,Yes,63,Yes,No,DSL,Yes,Yes,No internet service,No,No,No internet service,Two year,No,Mailed check,104.5,6601.99,No
CUST-00159,Male,0,Yes,No,9,Yes,No,No,No internet service,No,Yes,No internet service,No,No,Month-to-month,Yes,Electronic check,49.52,446.36,No
CUST-00160,Female,0,No,No,31,Yes,Yes,No,No,Yes,No,No internet service,No internet service,No,Month-to-month,No,Bank transfer (automatic),55.68,1735.48,No
CUST-00161,Male,0,Yes,Yes,53,Yes,No phone service,Fiber optic,No,No,Yes,No internet service,No internet service,No,Two year,Yes,Bank transfer (automatic),69.83,3737.45,No
CUST-00162,Female,0,No,Yes,67,Yes,Yes,Fiber optic,No internet service,No,No internet service,Yes,No,No internet service,Month-to-month,Yes,Mailed check,101.09,6762.75,No
CUST-00163,Female,0,Yes,No,67,No,Yes,No,No,No,Yes,No,No,Yes,Two year,No,Mailed check,95.18,6417.03,No
CUST-00164,Male,0,Yes,Yes,69,Yes,No,Fiber optic,No,No,No internet service,No internet service,No internet service,No,Two year,Yes,Mailed check,82.4,5683.17,No
CUST-00165,Male,0,Yes,No,40,Yes,Yes,Fiber optic,No,No,No,No internet service,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),60.51,2459.08,No
CUST-00166,Male,0,Yes,Yes,19,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,One year,No,Credit card (automatic),50.05,972.52,No
CUST-00167,Male,1,Yes,Yes,55,Yes,No,DSL,Yes,No internet service,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,115.27,6328.18,Yes
CUST-00168,Male,0,No,No,39,Yes,No phone service,Fiber optic,No internet service,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,113.57,4424.82,Yes
CUST-00169,Male,0,Yes,No,16,Yes,Yes,No,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,55.09,896.49,Yes
CUST-00170,Female,0,Yes,No,39,Yes,Yes,Fiber optic,No,No,No,No,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),60.55,2321.55,No
CUST-00171,Male,0,Yes,No,38,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),34.37,1310.87,No
CUST-00172,Female,0,Yes,Yes,34,Yes,Yes,DSL,No internet service,No,Yes,No,No,No,Month-to-month,No,Electronic check,64.91,2166.92,Yes
CUST-00173,Female,0,No,No,48,Yes,No,No,Yes,No,Yes,No internet service,Yes,No,Month-to-month,Yes,Credit card (automatic),100.15,4775.49,Yes
CUST-00174,Male,0,No,Yes,24,Yes,Yes,No,Yes,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),79.69,1940.48,No
